stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
22423,REGENCY CAKESTAND 3 TIER,24899,286486.3,3317,1314
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,252072.46,4888,1490
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1
M,Manual,9803,152340.57,620,438
85099B,JUMBO BAG RED RETROSPOT,75759,136980.08,2612,860
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,127074.17,2652,1010
POST,POSTAGE,5333,126563.04,1803,405
47566,PARTY BUNTING,23607,103880.23000000001,2077,894
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,138
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,29477,79594.33,1691,896
79321,CHILLI LIGHTS,15735,72860.14,922,304
21137,BLACK RECORD COVER FRAME,19629,67209.44,539,198
85099F,JUMBO BAG STRAWBERRY,36098,64601.65,1514,549
82484,WOOD BLACK BOARD ANT WHITE FINISH,10893,60513.09,1048,451
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29498,57779.17,525,300
21621,VINTAGE UNION JACK BUNTING,6542,54815.12,1121,583
15056N,EDWARDIAN PARASOL NATURAL,11027,54741.46,863,347
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29447,53168.340000000004,1449,506
22189,CREAM HEART CARD HOLDER,18113,52627.29,1129,536
22470,HEART OF WICKER LARGE,17866,52157.68000000001,1743,827
21623,VINTAGE UNION JACK MEMOBOARD,7158,51465.619999999995,499,311
23084,RABBIT NIGHT LIGHT,27202,51346.2,801,450
21733,RED HANGING HEART T-LIGHT HOLDER,17643,50010.85,1631,744
21931,JUMBO STORAGE BAG SUKI,26239,48255.8,1714,546
22112,CHOCOLATE HOT WATER BOTTLE,10326,47555.840000000004,1447,631
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17294,47240.020000000004,1233,701
15056BL,EDWARDIAN PARASOL BLACK,9488,46676.22,788,321
22178,VICTORIAN GLASS HANGING T-LIGHT,37851,46440.909999999996,1442,593
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24690,45784.63,1680,658
21181,PLEASE ONE PERSON METAL SIGN,22724,45035.100000000006,1399,562
22469,HEART OF WICKER SMALL,27182,45020.95,1779,886
22111,SCOTTIE DOG HOT WATER BOTTLE,9487,44368.05,1457,717
21843,RED RETROSPOT CAKE STAND,4435,44314.89,984,502
22386,JUMBO BAG PINK POLKADOT,23934,43967.14,1055,432
21929,JUMBO BAG PINK VINTAGE PAISLEY,24431,43883.88,1228,504
21754,HOME BUILDING BLOCK WORD,7468,43837.76,1831,682
22138,BAKING SET 9 PIECE RETROSPOT ,9052,43155.06,1742,1137
21731,RED TOADSTOOL LED NIGHT LIGHT,27867,42913.71,1043,415
21915,RED  HARMONICA IN BOX ,37097,41939.65,884,467
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14492,41555.54,644,298
21175,GIN + TONIC DIET METAL SIGN,19958,41373.380000000005,1385,543
