invoice_no,order_sales,order_items,unique_products,customer_id,country,invoice_date
489434,505.3,166,8,13085.0,United Kingdom,2009-12-01 07:45:00
489435,145.8,60,4,13085.0,United Kingdom,2009-12-01 07:46:00
489436,630.33,193,19,13078.0,United Kingdom,2009-12-01 09:06:00
489437,310.75,145,23,15362.0,United Kingdom,2009-12-01 09:08:00
489438,2286.24,826,17,18102.0,United Kingdom,2009-12-01 09:24:00
489439,426.3,219,19,12682.0,France,2009-12-01 09:28:00
489440,50.4,16,2,18087.0,United Kingdom,2009-12-01 09:43:00
489441,344.34000000000003,102,4,18087.0,United Kingdom,2009-12-01 09:44:00
489442,382.37,275,23,13635.0,United Kingdom,2009-12-01 09:46:00
489443,285.06,120,7,14110.0,United Kingdom,2009-12-01 09:50:00
489444,141.0,1,1,12636.0,USA,2009-12-01 09:55:00
489445,308.44,280,19,17519.0,United Kingdom,2009-12-01 09:57:00
489446,996.1,382,27,13758.0,United Kingdom,2009-12-01 10:06:00
489447,130.0,1,1,12362.0,Belgium,2009-12-01 10:10:00
489448,570.24,192,4,15413.0,United Kingdom,2009-12-01 10:18:00
489450,196.10000000000002,100,9,16321.0,Australia,2009-12-01 10:36:00
489460,485.79,977,15,16167.0,United Kingdom,2009-12-01 10:46:00
489461,589.33,379,26,17865.0,United Kingdom,2009-12-01 10:49:00
489462,148.3,38,13,17592.0,United Kingdom,2009-12-01 10:49:00
489465,1197.8000000000002,408,19,13767.0,United Kingdom,2009-12-01 10:52:00
489488,251.1,80,29,17238.0,United Kingdom,2009-12-01 10:59:00
489505,255.5,64,10,15712.0,United Kingdom,2009-12-01 11:17:00
489514,823.02,326,32,15311.0,United Kingdom,2009-12-01 11:21:00
489517,282.46000000000004,138,28,16329.0,United Kingdom,2009-12-01 11:34:00
489519,696.73,247,38,17700.0,United Kingdom,2009-12-01 11:37:00
489520,733.63,293,30,14911.0,EIRE,2009-12-01 11:41:00
489522,700.31,409,104,15998.0,United Kingdom,2009-12-01 11:45:00
489523,1160.0,800,1,12931.0,United Kingdom,2009-12-01 11:46:00
489526,929.9200000000001,484,44,12533.0,Germany,2009-12-01 11:50:00
489529,229.46,212,45,17984.0,United Kingdom,2009-12-01 11:51:00
489531,145.0,54,14,14871.0,United Kingdom,2009-12-01 11:57:00
489532,304.53,353,20,13394.0,United Kingdom,2009-12-01 11:58:00
489533,192.75,67,19,16011.0,United Kingdom,2009-12-01 12:02:00
489536,367.40999999999997,216,107,16393.0,United Kingdom,2009-12-01 12:13:00
489537,633.33,250,58,14040.0,United Kingdom,2009-12-01 12:14:00
489539,2887.14,1598,17,15061.0,United Kingdom,2009-12-01 12:18:00
489540,537.96,188,5,12913.0,United Kingdom,2009-12-01 12:18:00
489542,387.6,264,2,15061.0,United Kingdom,2009-12-01 12:19:00
489544,281.82,226,14,14341.0,United Kingdom,2009-12-01 12:20:00
489545,124.95,92,32,17804.0,United Kingdom,2009-12-01 12:22:00
489546,584.5,212,33,14156.0,EIRE,2009-12-01 12:30:00
489547,641.45,595,22,13599.0,United Kingdom,2009-12-01 12:30:00
489550,482.3,232,23,14156.0,EIRE,2009-12-01 12:33:00
489552,278.61,129,25,17063.0,United Kingdom,2009-12-01 12:36:00
489556,379.65,176,56,15719.0,United Kingdom,2009-12-01 12:47:00
489557,603.94,442,21,12490.0,France,2009-12-01 12:52:00
489558,291.58000000000004,154,4,15793.0,United Kingdom,2009-12-01 12:54:00
489559,128.60000000000002,26,8,17056.0,United Kingdom,2009-12-01 12:55:00
489560,859.1,1585,26,13526.0,United Kingdom,2009-12-01 12:56:00
489561,246.86,273,27,14654.0,United Kingdom,2009-12-01 12:57:00
489562,229.6,107,39,17998.0,United Kingdom,2009-12-01 13:07:00
489564,322.9,326,11,13526.0,United Kingdom,2009-12-01 13:13:00
489566,218.55,35,8,17742.0,United Kingdom,2009-12-01 13:16:00
489567,307.8,150,20,15326.0,United Kingdom,2009-12-01 13:19:00
489569,282.28,312,18,14478.0,United Kingdom,2009-12-01 13:20:00
489571,156.71,50,30,15967.0,United Kingdom,2009-12-01 13:29:00
489572,507.49,273,83,17611.0,United Kingdom,2009-12-01 13:29:00
489573,580.02,306,32,15051.0,United Kingdom,2009-12-01 13:29:00
489574,551.33,313,63,13097.0,United Kingdom,2009-12-01 13:31:00
489575,367.28000000000003,300,22,13590.0,United Kingdom,2009-12-01 13:37:00
489576,319.66,178,17,15984.0,United Kingdom,2009-12-01 13:38:00
489579,219.82,177,34,16887.0,United Kingdom,2009-12-01 13:41:00
489580,261.0,276,8,12921.0,United Kingdom,2009-12-01 13:43:00
489581,124.83,137,10,15945.0,United Kingdom,2009-12-01 13:47:00
489582,293.95,125,9,14543.0,United Kingdom,2009-12-01 13:47:00
489584,21.95,1,1,18037.0,United Kingdom,2009-12-01 13:48:00
489585,105.85,67,4,15662.0,United Kingdom,2009-12-01 13:49:00
489586,263.42,98,6,15380.0,United Kingdom,2009-12-01 13:50:00
489590,362.78000000000003,87,27,13110.0,United Kingdom,2009-12-01 14:14:00
489593,423.87,95,29,12836.0,United Kingdom,2009-12-01 14:19:00
489594,322.33,181,46,15005.0,United Kingdom,2009-12-01 14:19:00
489598,822.37,575,50,16620.0,United Kingdom,2009-12-01 14:35:00
489599,2454.68,1403,79,12758.0,Portugal,2009-12-01 14:40:00
489606,2.1,1,1,17961.0,United Kingdom,2009-12-01 14:48:00
489611,2.95,1,1,15601.0,United Kingdom,2009-12-01 14:53:00
489613,12.75,1,1,13585.0,United Kingdom,2009-12-01 14:56:00
489617,198.0,42,16,13442.0,United Kingdom,2009-12-01 14:59:00
489634,17.4,12,1,13381.0,United Kingdom,2009-12-01 15:19:00
489635,352.85,173,21,16763.0,United Kingdom,2009-12-01 15:26:00
489637,535.9,157,20,17243.0,United Kingdom,2009-12-01 15:36:00
489639,31.200000000000003,48,1,14865.0,United Kingdom,2009-12-01 16:05:00
489640,329.90999999999997,600,26,17345.0,United Kingdom,2009-12-01 16:17:00
489641,622.1,462,30,13819.0,United Kingdom,2009-12-01 16:18:00
489644,896.5400000000001,317,24,15808.0,United Kingdom,2009-12-01 16:30:00
489645,261.74,97,32,17191.0,United Kingdom,2009-12-01 16:34:00
489650,173.1,90,7,13748.0,United Kingdom,2009-12-01 16:44:00
489652,294.14,146,17,15265.0,United Kingdom,2009-12-01 17:08:00
489654,222.12,115,30,15750.0,United Kingdom,2009-12-01 17:19:00
489656,1237.3000000000002,401,22,17428.0,United Kingdom,2009-12-01 17:28:00
489657,55.2,32,3,17428.0,United Kingdom,2009-12-01 17:28:00
489658,828.09,249,21,15485.0,United Kingdom,2009-12-01 17:31:00
489661,23.48,34,4,17246.0,United Kingdom,2009-12-01 17:45:00
489662,73.75,25,1,15485.0,United Kingdom,2009-12-01 17:50:00
489664,374.43,57,11,14061.0,United Kingdom,2009-12-01 18:03:00
489665,252.3,118,10,14108.0,United Kingdom,2009-12-01 18:07:00
489666,263.09000000000003,203,15,13648.0,United Kingdom,2009-12-01 18:13:00
489667,538.46,221,10,16563.0,United Kingdom,2009-12-01 18:35:00
489668,378.12,198,8,16701.0,United Kingdom,2009-12-01 19:19:00
489669,397.20000000000005,168,3,12842.0,United Kingdom,2009-12-02 08:15:00
489670,114.60000000000001,28,2,14302.0,United Kingdom,2009-12-02 08:16:00
489671,740.3,966,8,14135.0,United Kingdom,2009-12-02 08:58:00
489672,772.65,421,32,14831.0,United Kingdom,2009-12-02 09:21:00
489673,61.1,34,4,14831.0,United Kingdom,2009-12-02 09:23:00
489674,261.3,266,17,15602.0,United Kingdom,2009-12-02 09:35:00
489675,4939.22,1930,22,13777.0,United Kingdom,2009-12-02 09:47:00
489676,1210.8,840,5,13777.0,United Kingdom,2009-12-02 09:49:00
489677,192.0,48,2,14000.0,United Kingdom,2009-12-02 09:50:00
489678,189.3,113,20,16823.0,United Kingdom,2009-12-02 09:57:00
489679,795.98,280,42,16163.0,United Kingdom,2009-12-02 10:00:00
489680,45.0,36,1,17193.0,United Kingdom,2009-12-02 10:02:00
489681,89.59,183,11,17998.0,United Kingdom,2009-12-02 10:02:00
489682,125.73,303,4,15759.0,United Kingdom,2009-12-02 10:08:00
489683,1317.97,721,46,16131.0,United Kingdom,2009-12-02 10:09:00
489684,266.59999999999997,116,9,14560.0,United Kingdom,2009-12-02 10:15:00
489687,221.53,113,12,17087.0,United Kingdom,2009-12-02 10:41:00
489688,299.70000000000005,54,3,14894.0,United Kingdom,2009-12-02 10:42:00
489695,306.95,121,15,16202.0,United Kingdom,2009-12-02 10:48:00
489699,401.7,238,25,16700.0,United Kingdom,2009-12-02 10:51:00
489702,3108.64,2020,30,17511.0,United Kingdom,2009-12-02 10:52:00
489705,17.0,4,1,16700.0,United Kingdom,2009-12-02 10:52:00
489723,2052.12,1339,26,14299.0,United Kingdom,2009-12-02 10:58:00
489725,216.0,300,1,17949.0,United Kingdom,2009-12-02 11:07:00
489726,750.0,200,1,17949.0,United Kingdom,2009-12-02 11:07:00
489727,900.0,450,1,17949.0,United Kingdom,2009-12-02 11:09:00
489728,180.45000000000002,349,10,14799.0,United Kingdom,2009-12-02 11:18:00
489733,168.0,48,2,15311.0,United Kingdom,2009-12-02 11:20:00
489743,538.77,320,33,16550.0,United Kingdom,2009-12-02 11:24:00
489748,754.2,84,3,12980.0,United Kingdom,2009-12-02 11:26:00
489764,223.1,82,14,14425.0,United Kingdom,2009-12-02 11:31:00
489765,285.59000000000003,91,38,15353.0,United Kingdom,2009-12-02 11:33:00
489766,130.18,90,42,17818.0,United Kingdom,2009-12-02 11:34:00
489780,159.98000000000002,90,8,13654.0,United Kingdom,2009-12-02 11:43:00
489782,230.46,148,21,17189.0,United Kingdom,2009-12-02 11:45:00
489783,162.04,152,7,13269.0,United Kingdom,2009-12-02 11:47:00
489784,40.8,48,4,13269.0,United Kingdom,2009-12-02 11:48:00
489785,333.67,250,19,14653.0,United Kingdom,2009-12-02 11:51:00
489786,216.85999999999999,199,39,17019.0,United Kingdom,2009-12-02 11:52:00
489787,319.54,127,63,15542.0,United Kingdom,2009-12-02 11:53:00
489788,119.16,38,17,13564.0,United Kingdom,2009-12-02 11:55:00
489789,80.4,24,5,15833.0,United Kingdom,2009-12-02 11:59:00
489790,131.12,88,2,16467.0,United Kingdom,2009-12-02 11:59:00
489791,221.19,90,62,15542.0,United Kingdom,2009-12-02 12:06:00
489792,923.79,165,58,14527.0,United Kingdom,2009-12-02 12:06:00
489793,260.36,124,16,17476.0,United Kingdom,2009-12-02 12:09:00
489794,58.2,55,4,15287.0,United Kingdom,2009-12-02 12:13:00
489795,935.01,287,13,14440.0,United Kingdom,2009-12-02 12:13:00
489796,311.5,268,19,15680.0,United Kingdom,2009-12-02 12:15:00
489797,200.63,142,25,15581.0,United Kingdom,2009-12-02 12:19:00
489798,311.69,97,19,13740.0,United Kingdom,2009-12-02 12:22:00
489800,408.07,532,31,17768.0,United Kingdom,2009-12-02 12:26:00
489801,128.48,144,6,12948.0,United Kingdom,2009-12-02 12:28:00
489802,174.52,156,44,15581.0,United Kingdom,2009-12-02 12:32:00
489804,251.17,185,15,14667.0,United Kingdom,2009-12-02 12:38:00
489805,454.35,227,46,17377.0,United Kingdom,2009-12-02 12:39:00
489807,180.13,241,27,15581.0,United Kingdom,2009-12-02 12:43:00
489808,109.84,82,17,14467.0,United Kingdom,2009-12-02 12:44:00
489809,112.5,68,6,13457.0,United Kingdom,2009-12-02 12:46:00
489810,493.25,165,26,18108.0,United Kingdom,2009-12-02 12:47:00
489811,634.29,515,9,16210.0,United Kingdom,2009-12-02 12:54:00
489812,597.6899999999999,85,25,17377.0,United Kingdom,2009-12-02 13:00:00
489814,824.1800000000001,506,84,14669.0,United Kingdom,2009-12-02 13:06:00
489815,132.55,41,8,17909.0,United Kingdom,2009-12-02 13:10:00
489816,284.55,258,27,16086.0,United Kingdom,2009-12-02 13:20:00
489817,340.2,132,3,16711.0,United Kingdom,2009-12-02 13:22:00
489818,294.3,102,14,16233.0,United Kingdom,2009-12-02 13:23:00
489819,618.4300000000001,465,13,14739.0,United Kingdom,2009-12-02 13:23:00
489822,371.27000000000004,103,54,14204.0,United Kingdom,2009-12-02 13:26:00
489823,87.30000000000001,42,6,17606.0,United Kingdom,2009-12-02 13:32:00
489824,176.88,127,44,16797.0,United Kingdom,2009-12-02 13:33:00
489825,174.1,94,10,16126.0,United Kingdom,2009-12-02 13:34:00
489826,85.95,17,10,17867.0,United Kingdom,2009-12-02 13:39:00
489827,445.7,382,23,17412.0,United Kingdom,2009-12-02 13:51:00
489829,472.47,237,8,16525.0,United Kingdom,2009-12-02 13:53:00
489830,637.04,242,62,13623.0,United Kingdom,2009-12-02 13:57:00
489831,1008.0,480,1,12435.0,Denmark,2009-12-02 13:58:00
489832,316.22,122,54,14549.0,United Kingdom,2009-12-02 14:06:00
489833,150.68,79,24,14980.0,United Kingdom,2009-12-02 14:09:00
489834,214.8,24,1,14106.0,United Kingdom,2009-12-02 14:09:00
489835,714.0,280,2,15061.0,United Kingdom,2009-12-02 14:15:00
489837,514.97,274,43,14396.0,United Kingdom,2009-12-02 14:21:00
489840,89.69999999999999,6,1,14122.0,United Kingdom,2009-12-02 14:22:00
489855,157.91,56,28,16987.0,United Kingdom,2009-12-02 14:34:00
489862,734.7,150,4,17809.0,United Kingdom,2009-12-02 14:52:00
489863,66.82,21,18,15917.0,United Kingdom,2009-12-02 14:55:00
489864,206.85,79,3,14987.0,United Kingdom,2009-12-02 14:56:00
489865,234.87,53,18,14080.0,United Kingdom,2009-12-02 15:01:00
489866,1003.83,587,109,16200.0,United Kingdom,2009-12-02 15:04:00
489868,675.0,248,14,15794.0,United Kingdom,2009-12-02 15:10:00
489869,39.980000000000004,27,17,16200.0,United Kingdom,2009-12-02 15:15:00
489870,162.1,118,3,15523.0,United Kingdom,2009-12-02 15:16:00
489871,735.7,274,5,15523.0,United Kingdom,2009-12-02 15:17:00
489872,632.9,320,22,15615.0,United Kingdom,2009-12-02 15:28:00
489873,10.2,12,1,15615.0,United Kingdom,2009-12-02 15:29:00
489874,176.6,144,12,18001.0,United Kingdom,2009-12-02 15:38:00
489875,530.76,219,92,17841.0,United Kingdom,2009-12-02 15:41:00
489876,39.85,22,18,15917.0,United Kingdom,2009-12-02 15:44:00
489877,368.1,162,4,13089.0,United Kingdom,2009-12-02 15:44:00
489878,143.11,56,36,15989.0,United Kingdom,2009-12-02 15:51:00
489879,163.47,138,42,17660.0,United Kingdom,2009-12-02 16:02:00
489880,380.28,552,22,13313.0,United Kingdom,2009-12-02 16:18:00
489883,578.28,263,27,12437.0,France,2009-12-02 16:24:00
489884,3.61,19,1,13313.0,United Kingdom,2009-12-02 16:24:00
489888,597.4,660,26,14841.0,United Kingdom,2009-12-02 16:49:00
489889,4734.24,3200,20,14646.0,Netherlands,2009-12-02 16:52:00
489890,976.8,592,3,14646.0,Netherlands,2009-12-02 16:53:00
489891,181.08,144,6,15482.0,United Kingdom,2009-12-02 16:59:00
489893,300.1,98,9,16156.0,United Kingdom,2009-12-02 17:06:00
489894,520.2,396,27,17716.0,United Kingdom,2009-12-02 17:18:00
489895,371.82,266,22,12779.0,Poland,2009-12-03 07:25:00
489896,337.93,227,20,13611.0,United Kingdom,2009-12-03 07:57:00
489897,260.44,176,13,15255.0,United Kingdom,2009-12-03 09:10:00
489900,287.37,253,19,14771.0,United Kingdom,2009-12-03 09:44:00
489902,119.10000000000001,18,4,14838.0,United Kingdom,2009-12-03 09:52:00
489904,203.78,150,13,13979.0,United Kingdom,2009-12-03 10:02:00
489905,478.7,242,19,13800.0,United Kingdom,2009-12-03 10:03:00
489906,120.0,96,4,14483.0,United Kingdom,2009-12-03 10:16:00
489907,202.06,104,11,14915.0,United Kingdom,2009-12-03 10:17:00
489908,107.33,41,6,16301.0,United Kingdom,2009-12-03 10:20:00
489909,642.2,428,16,13753.0,United Kingdom,2009-12-03 10:20:00
489910,144.0,288,1,15482.0,United Kingdom,2009-12-03 10:23:00
489912,1146.1000000000001,578,58,13931.0,United Kingdom,2009-12-03 10:26:00
489913,69.6,16,3,13931.0,United Kingdom,2009-12-03 10:28:00
489914,993.0,508,29,12921.0,United Kingdom,2009-12-03 10:28:00
489915,54.6,36,2,17035.0,United Kingdom,2009-12-03 10:37:00
489916,336.0,212,9,15194.0,United Kingdom,2009-12-03 10:37:00
489932,82.60000000000001,48,6,14347.0,United Kingdom,2009-12-03 10:49:00
489935,181.65,31,2,12934.0,United Kingdom,2009-12-03 10:51:00
489994,430.9,142,4,15291.0,United Kingdom,2009-12-03 11:09:00
489996,320.40000000000003,514,5,17209.0,United Kingdom,2009-12-03 11:10:00
489998,321.65000000000003,93,17,15658.0,United Kingdom,2009-12-03 11:19:00
489999,154.2,72,7,17314.0,United Kingdom,2009-12-03 11:25:00
490000,143.06,89,12,17155.0,United Kingdom,2009-12-03 11:34:00
490001,169.5,94,2,15965.0,United Kingdom,2009-12-03 11:45:00
490002,114.55,115,28,17322.0,United Kingdom,2009-12-03 11:46:00
490003,317.55,163,12,16159.0,United Kingdom,2009-12-03 11:51:00
490004,912.5600000000001,224,9,14051.0,United Kingdom,2009-12-03 11:53:00
