stockcode,description,total_quantity,total_revenue,total_orders,unique_customers,description_clean
10002,INFLATABLE POLITICAL GLOBE ,8624,6761.5199999999995,297,164,inflatable political globe
10080,GROOVY CACTUS INFLATABLE,303,124.60999999999999,26,23,groovy cactus inflatable
10109,BENDY COLOUR PENCILS,4,1.68,1,1,bendy colour pencils
10120,DOGGY RUBBER,664,139.44,62,52,doggy rubber
10123C,HEARTS WRAPPING TAPE ,632,229.36,46,39,hearts wrapping tape
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,12,12,army camo wrapping tape
10124A,SPOTS ON RED BOOKCOVER TAPE,62,26.04,18,18,spots on red bookcover tape
10124G,ARMY CAMO BOOKCOVER TAPE,37,15.54,9,9,army camo bookcover tape
10125,MINI FUNKY DESIGN TAPES,2016,1601.8,120,87,mini funky design tapes
10133,COLOURING PENCILS BROWN TUBE,3351,1943.46,203,153,colouring pencils brown tube
10134,COLOURING PENCILS BROWN TUBE,614,704.8,48,44,colouring pencils brown tube
10135,COLOURING PENCILS BROWN TUBE,3920,4089.39,249,178,colouring pencils brown tube
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,16,14,assorted colour jumbo pen
11001,ASSTD DESIGN RACING CAR PEN,4325,6696.69,178,118,asstd design racing car pen
15030,FAN BLACK FRAME ,254,73.66,26,23,fan black frame
15034,PAPER POCKET TRAVELING FAN ,9928,1171.5200000000002,172,123,paper pocket traveling fan
15036,ASSORTED COLOURS SILK FAN,41078,28829.32,634,303,assorted colours silk fan
15039,SANDALWOOD FAN,4163,2863.35,180,127,sandalwood fan
15044A,PINK PAPER PARASOL ,4900,12821.48,194,116,pink paper parasol
15044B,BLUE PAPER PARASOL ,1626,4382.3,148,97,blue paper parasol
15044C,PURPLE PAPER PARASOL,866,2440.3,160,100,purple paper parasol
15044D,RED PAPER PARASOL,1545,4255.79,188,105,red paper parasol
15056BL,EDWARDIAN PARASOL BLACK,9488,46676.22,788,321,edwardian parasol black
15056N,EDWARDIAN PARASOL NATURAL,11027,54741.46,863,347,edwardian parasol natural
15056P,EDWARDIAN PARASOL PINK,2492,12141.210000000001,321,186,edwardian parasol pink
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,51,40,blue polkadot garden parasol
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,55,41,blue white spots garden parasol
15058B,PINK POLKADOT GARDEN PARASOL,121,913.95,44,35,pink polkadot garden parasol
15058B,PINK WHITE SPOTS GARDEN PARASOL,180,1007.0,47,36,pink white spots garden parasol
15058C,ICE CREAM DESIGN GARDEN PARASOL,413,1963.35,71,56,ice cream design garden parasol
15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,1,1,english rose edwardian parasol
15060B,FAIRY CAKE DESIGN UMBRELLA,1156,4209.42,274,174,fairy cake design umbrella
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3143,423.46,85,64,small folding scissor pointed edge
16010,FOLDING CAMPING SCISSOR W/KNIF & S,44,5.279999999999999,4,4,folding camping scissor w knif s
16011, ANIMAL STICKERS,385,80.85,12,10,animal stickers
16011,ANIMAL STICKERS,3521,738.21,100,74,animal stickers
16012,FOOD/DRINK SPONGE STICKERS,2190,459.9,62,53,food drink sponge stickers
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,20,18,food drink spunge stickers
16014,SMALL CHINESE STYLE SCISSOR,30369,9838.98,92,46,small chinese style scissor
16015,MEDIUM CHINESE STYLE SCISSOR,1573,711.88,65,40,medium chinese style scissor
16016,LARGE CHINESE STYLE SCISSOR,2331,1885.15,105,57,large chinese style scissor
16020C,CLEAR STATIONERY BOX SET ,82,69.69999999999999,24,22,clear stationery box set
16033,MINI HIGHLIGHTER PENS,15001,1530.12,49,43,mini highlighter pens
16043,POP ART PUSH DOWN RUBBER ,2142,179.04000000000002,12,11,pop art push down rubber
16044,POP-ART FLUORESCENT PENS,6192,388.8,2,2,pop art fluorescent pens
16045,POPART WOODEN PENCILS ASST,9300,428.0,72,65,popart wooden pencils asst
16046,TEATIME PEN CASE & PENS,9954,1047.78,45,44,teatime pen case pens
16047,POP ART PEN CASE & PENS,10589,1017.2900000000001,23,21,pop art pen case pens
16048,TEATIME ROUND PENCIL SHARPENER ,3414,498.78,69,59,teatime round pencil sharpener
16049,TEATIME GEL PENS ASST,3144,542.88,25,22,teatime gel pens asst
16050,TEATIME PENCIL WITH RUBBER,122,30.5,4,4,teatime pencil with rubber
16051,TEATIME PENCIL W STAMP ASST,938,82.2,3,3,teatime pencil w stamp asst
16052,TEATIME PUSH DOWN RUBBER,810,249.35,21,18,teatime push down rubber
16053,POPART COL BALLPOINT PEN ASST,4298,182.58,8,8,popart col ballpoint pen asst
16054,POPART RECT PENCIL SHARPENER ASST,1205,156.9,37,32,popart rect pencil sharpener asst
16119,FUNKY GIRL ADDRESS BOOK,271,128.21,7,7,funky girl address book
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,2,2,flower des blue handbag orang handl
