stockcode,description,sales_amount
22423,REGENCY CAKESTAND 3 TIER,286486.3
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
M,Manual,152340.57
85099B,JUMBO BAG RED RETROSPOT,136980.08
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17
POST,POSTAGE,126563.04
47566,PARTY BUNTING,103880.23000000001
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33
79321,CHILLI LIGHTS,72860.14
21137,BLACK RECORD COVER FRAME,67209.44
85099F,JUMBO BAG STRAWBERRY,64601.65
82484,WOOD BLACK BOARD ANT WHITE FINISH,60513.09
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17
21621,VINTAGE UNION JACK BUNTING,54815.12
15056N,EDWARDIAN PARASOL NATURAL,54741.46
85099C,JUMBO  BAG BAROQUE BLACK WHITE,53168.340000000004
22189,CREAM HEART CARD HOLDER,52627.29
22470,HEART OF WICKER LARGE,52157.68000000001
21623,VINTAGE UNION JACK MEMOBOARD,51465.619999999995
23084,RABBIT NIGHT LIGHT,51346.2
21733,RED HANGING HEART T-LIGHT HOLDER,50010.85
21931,JUMBO STORAGE BAG SUKI,48255.8
22112,CHOCOLATE HOT WATER BOTTLE,47555.840000000004
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.020000000004
15056BL,EDWARDIAN PARASOL BLACK,46676.22
22178,VICTORIAN GLASS HANGING T-LIGHT,46440.909999999996
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63
21181,PLEASE ONE PERSON METAL SIGN,45035.100000000006
22469,HEART OF WICKER SMALL,45020.95
22111,SCOTTIE DOG HOT WATER BOTTLE,44368.05
21843,RED RETROSPOT CAKE STAND,44314.89
22386,JUMBO BAG PINK POLKADOT,43967.14
21929,JUMBO BAG PINK VINTAGE PAISLEY,43883.88
21754,HOME BUILDING BLOCK WORD,43837.76
22138,BAKING SET 9 PIECE RETROSPOT ,43155.06
21731,RED TOADSTOOL LED NIGHT LIGHT,42913.71
21915,RED  HARMONICA IN BOX ,41939.65
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41555.54
21175,GIN + TONIC DIET METAL SIGN,41373.380000000005
22457,NATURAL SLATE HEART CHALKBOARD ,41203.920000000006
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40883.57000000001
82494L,WOODEN FRAME ANTIQUE WHITE ,40870.82000000001
