segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
At Risk,10002,INFLATABLE POLITICAL GLOBE ,260,221.0,29,19
At Risk,10120,DOGGY RUBBER,64,13.44,3,3
At Risk,10123C,HEARTS WRAPPING TAPE ,36,23.400000000000002,11,10
At Risk,10123G,ARMY CAMO WRAPPING TAPE,6,3.9,2,2
At Risk,10124A,SPOTS ON RED BOOKCOVER TAPE,2,0.84,2,2
At Risk,10124G,ARMY CAMO BOOKCOVER TAPE,2,0.84,1,1
At Risk,10125,MINI FUNKY DESIGN TAPES,74,54.3,10,10
At Risk,10133,COLOURING PENCILS BROWN TUBE,122,101.1,13,11
At Risk,10134,COLOURING PENCILS BROWN TUBE,42,52.5,9,9
At Risk,10135,COLOURING PENCILS BROWN TUBE,300,322.8,20,18
At Risk,10138,ASSORTED COLOUR JUMBO PEN,23,9.66,2,2
At Risk,11001,ASSTD DESIGN RACING CAR PEN,164,277.15999999999997,11,11
At Risk,15030,FAN BLACK FRAME ,8,2.32,2,2
At Risk,15034,PAPER POCKET TRAVELING FAN ,397,55.580000000000005,17,14
At Risk,15036,ASSORTED COLOURS SILK FAN,3116,2283.96,85,45
At Risk,15039,SANDALWOOD FAN,224,190.4,13,9
At Risk,15044A,PINK PAPER PARASOL ,113,333.35,17,15
At Risk,15044B,BLUE PAPER PARASOL ,130,383.50000000000006,17,13
At Risk,15044C,PURPLE PAPER PARASOL,104,306.80000000000007,16,14
At Risk,15044D,RED PAPER PARASOL,202,575.9000000000001,19,11
At Risk,15056BL,EDWARDIAN PARASOL BLACK,804,4205.8,131,44
At Risk,15056N,EDWARDIAN PARASOL NATURAL,661,3486.9500000000003,108,42
At Risk,15056P,EDWARDIAN PARASOL PINK,307,1596.65,48,23
At Risk,15058A,BLUE POLKADOT GARDEN PARASOL,2,15.9,1,1
At Risk,15058A,BLUE WHITE SPOTS GARDEN PARASOL,25,118.75,6,5
At Risk,15058B,PINK POLKADOT GARDEN PARASOL,4,31.8,1,1
At Risk,15058B,PINK WHITE SPOTS GARDEN PARASOL,26,126.7,6,5
At Risk,15058C,ICE CREAM DESIGN GARDEN PARASOL,13,63.35,4,4
At Risk,15060B,FAIRY CAKE DESIGN UMBRELLA,174,604.5,31,22
At Risk,16008,SMALL FOLDING SCISSOR(POINTED EDGE),60,15.0,3,2
At Risk,16011, ANIMAL STICKERS,24,5.04,1,1
At Risk,16011,ANIMAL STICKERS,193,39.33,7,7
At Risk,16012,FOOD/DRINK SPONGE STICKERS,72,15.120000000000001,3,3
At Risk,16012,FOOD/DRINK SPUNGE STICKERS,120,24.0,5,5
At Risk,16014,SMALL CHINESE STYLE SCISSOR,263,110.46000000000001,7,4
At Risk,16015,MEDIUM CHINESE STYLE SCISSOR,174,87.0,9,6
At Risk,16016,LARGE CHINESE STYLE SCISSOR,206,175.1,12,8
At Risk,16020C,CLEAR STATIONERY BOX SET ,4,3.4,3,3
At Risk,16033,MINI HIGHLIGHTER PENS,9360,853.1999999999999,9,5
At Risk,16043,POP ART PUSH DOWN RUBBER ,26,10.92,3,3
At Risk,16044,POP-ART FLUORESCENT PENS,6144,368.64,1,1
At Risk,16045,POPART WOODEN PENCILS ASST,200,24.0,2,2
At Risk,16046,TEATIME PEN CASE & PENS,113,32.69,7,7
At Risk,16047,POP ART PEN CASE & PENS,30,25.5,2,2
At Risk,16048,TEATIME ROUND PENCIL SHARPENER ,481,86.82,9,9
At Risk,16049,TEATIME GEL PENS ASST,324,49.68,3,3
At Risk,16050,TEATIME PENCIL WITH RUBBER,71,17.75,2,2
At Risk,16051,TEATIME PENCIL W STAMP ASST,866,51.96,1,1
At Risk,16053,POPART COL BALLPOINT PEN ASST,50,10.5,1,1
At Risk,16054,POPART RECT PENCIL SHARPENER ASST,1,0.42,1,1
At Risk,16119,FUNKY GIRL ADDRESS BOOK,98,37.24,1,1
At Risk,16156N,"WRAP, FRIENDSHIP ON GREEN",125,52.5,5,5
At Risk,16156S,WRAP PINK FAIRY CAKES ,875,365.5,35,32
At Risk,16161E,WRAP BOUDOIR ,100,10.0,3,3
At Risk,16161G,WRAP BAD HAIR DAY,100,10.0,4,4
At Risk,16161M,WRAP  PINK FLOCK,200,82.0,7,6
At Risk,16161P,WRAP ENGLISH ROSE ,1050,439.0,38,28
At Risk,16161U,WRAP SUKI AND FRIENDS,250,105.0,10,10
At Risk,16161U,"WRAP,SUKI AND FRIENDS",250,101.0,10,9
At Risk,16162L,THE KING GIFT BAG,12,7.800000000000001,1,1
At Risk,16168M,FUNKY MONKEY GIFT BAG MEDIUM,98,33.96,5,3
At Risk,16169C,WRAP BLUE REINDEER,300,126.0,11,10
At Risk,16169D,WRAP WINTER FOREST,25,10.5,1,1
At Risk,16169F,WRAP BLIZZARD,175,73.5,5,5
At Risk,16169K,WRAP FOLK ART,275,98.25,10,10
At Risk,16169M,WRAP DAISY CARPET ,285,79.45,9,9
At Risk,16169N,WRAP BLUE RUSSIAN FOLKART,225,54.25,7,7
At Risk,16169P,WRAP GREEN RUSSIAN FOLKART ,250,76.25,8,8
At Risk,16202A,PASTEL PINK PHOTO ALBUM ,1,5.55,1,1
At Risk,16202B,PASTEL BLUE PHOTO ALBUM ,6,33.3,1,1
At Risk,16202C,BEIGE PHOTO ALBUM,12,23.4,1,1
At Risk,16206B,RED PURSE WITH PINK HEART,25,31.25,2,2
At Risk,16207A,PINK STRAWBERRY HANDBAG ,17,50.150000000000006,4,4
At Risk,16207B,PINK HEART RED HANDBAG,9,26.550000000000004,3,3
At Risk,16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,104,67.6,6,6
At Risk,16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,3,1.95,1,1
At Risk,16216,LETTER SHAPE PENCIL SHARPENER,30,4.8,3,3
At Risk,16218,CARTOON  PENCIL SHARPENERS,100,16.0,2,2
At Risk,16219,HOUSE SHAPE PENCIL SHARPENER,24,5.04,2,2
At Risk,16225,RATTLE SNAKE EGGS,64,60.08,6,6
At Risk,16235,RECYCLED PENCIL WITH RABBIT ERASER,461,93.81,12,10
At Risk,16236,KITTY PENCIL ERASERS,188,39.48,13,12
At Risk,16237,SLEEPING CAT ERASERS,553,116.13,21,17
At Risk,16238,PARTY TIME PENCIL ERASERS,200,42.0,8,8
At Risk,16239,BALLERINA HEART DECORATION.,9,26.55,2,2
At Risk,16245A,PINK MINI STATIONERY SET W CASE,2,2.5,1,1
At Risk,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,868,219.4,3,3
At Risk,16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,96,40.32,4,4
At Risk,16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,22,9.24,3,3
At Risk,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,54,14.4,6,6
At Risk,16258B,DAISY ERASERS IN BAG,72,13.68,2,2
At Risk,16259,PIECE OF CAMO STATIONERY SET,475,99.75,6,5
At Risk,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,4,1.16,2,2
At Risk,17003,BROCADE RING PURSE ,1694,372.3,36,22
At Risk,17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,25,52.50000000000001,2,2
At Risk,17011A,ORIGAMI VANILLA INCENSE+FLOWER ,6,12.6,1,1
At Risk,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,24,12.0,1,1
At Risk,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,24,12.0,1,1
At Risk,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,24,12.0,1,1
At Risk,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1,2.55,1,1
At Risk,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,48,24.0,1,1
At Risk,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,12.0,1,1
At Risk,17013D,ORIGAMI ROSE INCENSE IN TUBE,13,21.45,2,2
At Risk,17014A,ORIGAMI VANILLA INCENSE CONES,24,12.0,1,1
At Risk,17021,NAMASTE SWAGAT INCENSE,192,57.60000000000001,7,6
At Risk,17027A,INCENSE BAZAAR CANNABIS,228,84.84,2,1
At Risk,17033,"BROCADE PURSE,SMALL ARCH BUTTON",596,167.07999999999998,15,12
At Risk,17038,PORCELAIN BUDAH INCENSE HOLDER,13,1.3,1,1
At Risk,17039,INLAID WOOD INCENSE HOLDER,2005,422.65,6,2
At Risk,17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1,1
At Risk,17084A,TRANQUILITY MASALA INCENSE,25,5.25,1,1
At Risk,17084G,MOON INCENSE,25,5.25,1,1
At Risk,17084N,FAIRY DREAMS INCENSE ,150,31.5,6,5
At Risk,17084P,DRAGONS BLOOD INCENSE,100,21.0,3,3
At Risk,17084R,ASSORTED INCENSE PACK,1152,241.92,11,4
At Risk,17090A,LAVENDER INCENSE 40 CONES IN TIN,1,1.25,1,1
At Risk,17090D,VANILLA INCENSE 40 CONES IN TIN,2,2.5,2,2
At Risk,17091A,LAVENDER INCENSE IN TIN,685,512.4499999999999,15,13
At Risk,17091B,JASMINE TEA INCENSE IN TIN,18,22.5,5,5
At Risk,17091J,VANILLA INCENSE IN TIN,935,739.33,15,10
At Risk,17096,ASSORTED LAQUERED INCENSE HOLDERS,112,23.52,5,5
At Risk,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",16,40.8,3,3
At Risk,17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,12,5.04,1,1
At Risk,17109A,FLOWER FAIRY INCENSE LILY,30,50.7,2,2
At Risk,17109B,FLOWER FAIRY INCENSE LAVENDER,3948,645.3,4,4
At Risk,17109C,FLOWER FAIRY INCENSE ROSE,2545,420.25,3,3
At Risk,17109D,FLOWER FAIRY INCENSE BOUQUET,29,49.010000000000005,4,4
At Risk,17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,2,1.7,1,1
At Risk,17129D,CLEAR COLOUR GLASS GEMS IN BAG,2,1.7,2,2
At Risk,17129F,BLUE GLASS GEMS IN BAG,2,1.7,1,1
At Risk,17129F,DEEP BLUE GLASS GEMS IN BAG,8,6.8,1,1
At Risk,17136A,BLUE STONES ON WIRE FOR CANDLE,1,0.21,1,1
At Risk,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,204,85.67999999999999,11,9
At Risk,17164D,ASS COL SMALL SAND FROG P'WEIGHT,151,63.419999999999995,6,5
At Risk,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,66,69.3,10,8
At Risk,17165D,ASS COL LARGE SAND FROG P'WEIGHT,150,143.1,13,8
At Risk,17178,FLAT PALM T-LIGHT HOLDER,44,55.0,10,7
At Risk,17181,CIRCLE OF FRIENDS CANDLE HOLDER,13,33.15,4,4
At Risk,17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,10,37.5,4,4
At Risk,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,152,27.36,5,4
At Risk,18094C,WHITE AND BLUE CERAMIC OIL BURNER,7,8.75,4,3
At Risk,18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,6,7.5,1,1
At Risk,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,12,30.6,2,2
At Risk,18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,1,2.55,1,1
At Risk,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,87,218.25,16,12
At Risk,18098B,BLUE PORCELAIN B'FLY OIL BURNER,1,2.95,1,1
At Risk,18098C,PORCELAIN BUTTERFLY OIL BURNER,220,625.0000000000001,34,24
At Risk,20615,BLUE SPOTTY PASSPORT COVER,34,71.39999999999999,8,6
At Risk,20616,CHERRY BLOSSOM PASSPORT COVER,22,46.2,5,5
At Risk,20617,FIRST CLASS PASSPORT COVER ,8,14.34,3,3
At Risk,20618,QUEEN OF THE SKIES PASSPORT COVER ,14,29.4,5,5
At Risk,20619,TROPICAL PASSPORT COVER ,16,33.6,4,4
At Risk,20621,ECONOMY PASSPORT COVER ,6,12.600000000000001,3,3
At Risk,20622,VIPPASSPORT COVER ,17,35.7,8,8
At Risk,20652,BLUE POLKADOT LUGGAGE TAG ,2,2.5,2,2
At Risk,20652,BLUE SPOTTY LUGGAGE TAG ,655,158.75,8,7
At Risk,20653,CHERRY BLOSSOM LUGGAGE TAG,1827,303.75,5,5
At Risk,20654,FIRST CLASS LUGGAGE TAG ,36,42.72,9,7
At Risk,20655,QUEEN OF SKIES LUGGAGE TAG,19,21.47,5,4
At Risk,20657,TROPICAL LUGGAGE TAG,1224,210.0,7,7
At Risk,20658,RED RETROSPOT LUGGAGE TAG,55,68.75,11,9
At Risk,20658,RED SPOTTY LUGGAGE TAG,78,95.22,9,9
At Risk,20659,ECONOMY LUGGAGE TAG,9,11.25,6,5
At Risk,20660,VIP LUGGAGE TAG ,5,6.25,4,3
At Risk,20661,BLUE SPOTTY PURSE ,25,73.75000000000001,5,5
At Risk,20662,FIRST CLASS HOLIDAY PURSE ,25,71.35000000000001,5,5
At Risk,20664,TROPICAL HOLIDAY PURSE ,2,5.9,2,2
At Risk,20665,RED RETROSPOT PURSE ,12,35.400000000000006,3,3
At Risk,20665,RED SPOTTY PURSE ,143,419.45000000000005,23,23
At Risk,20666,ECONOMY HOLIDAY PURSE,27,79.65,4,4
At Risk,20668,DISCO BALL CHRISTMAS DECORATION,996,105.76,14,14
At Risk,20669,RED HEART LUGGAGE TAG,131,163.75,16,14
At Risk,20670,VIP HOLIDAY PURSE,10,29.500000000000004,3,3
At Risk,20671,BLUE TEATIME PRINT BOWL ,60,75.0,12,10
At Risk,20672,PINK TEATIME PRINT BOWL,3,3.75,2,2
At Risk,20674,GREEN POLKADOT BOWL,37,46.25,5,5
At Risk,20674,GREEN SPOTTY BOWL,174,203.82,14,13
At Risk,20675,BLUE POLKADOT BOWL,95,118.75,11,10
At Risk,20675,BLUE SPOTTY BOWL,145,181.25,23,20
At Risk,20676,RED RETROSPOT BOWL,72,90.0,12,12
At Risk,20676,RED SPOTTY BOWL,330,398.82,35,27
At Risk,20677,PINK POLKADOT BOWL,90,112.5,13,12
At Risk,20677,PINK SPOTTY BOWL,132,165.0,22,14
At Risk,20679,EDWARDIAN PARASOL RED,568,2935.6000000000004,87,24
At Risk,20680,PINK FLOWERS CHILDS UMBRELLA,1,3.25,1,1
At Risk,20681,PINK POLKADOT CHILDRENS UMBRELLA,18,58.5,6,4
At Risk,20681,PINK SPOTTY CHILDS UMBRELLA,119,383.75,23,19
At Risk,20682,RED RETROSPOT CHILDRENS UMBRELLA,102,331.5,13,12
At Risk,20682,RED SPOTTY CHILDS UMBRELLA,139,448.75,27,26
At Risk,20684,STRAWBERRY DREAM CHILDS UMBRELLA,74,237.5,19,18
At Risk,20685,DOOR MAT RED SPOT,205,1476.17,65,40
At Risk,20685,DOORMAT RED RETROSPOT,193,1426.3500000000001,43,32
At Risk,20685,DOORMAT RED SPOT,108,749.58,27,25
At Risk,20685,RED SPOTTY COIR DOORMAT,148,951.0,36,26
At Risk,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,51,162.75,15,15
At Risk,20688,BEAUTY SPEED EXPRESSO CUPS,420,189.0,1,1
At Risk,20689,RETRO SISTERS EXPRESSO CUPS,342,186.9,5,4
At Risk,20692,FLORAL ELEPHANT SOFT TOY,45,183.75,15,10
At Risk,20694,FLORAL PINK MONSTER,12,42.120000000000005,3,2
At Risk,20695,FLORAL BLUE MONSTER,13,50.75,5,3
At Risk,20696,FLORAL SOFT CAR TOY,12,45.0,2,2
At Risk,20697,LITTLE GREEN MONSTER SOFT TOY,12,25.2,2,1
At Risk,20698,LITTLE PINK MONSTER SOFT TOY,15,32.85,4,3
At Risk,20699,MOUSEY LONG LEGS SOFT TOY,53,124.35000000000001,8,7
At Risk,20700,GREEN CAT FLORAL CUSHION COVER ,9,33.75,3,3
At Risk,20701,PINK CAT FLORAL CUSHION COVER ,1,3.75,1,1
At Risk,20702,PINK PADDED MOBILE,70,290.0,26,20
At Risk,20703,BLUE PADDED SOFT MOBILE,67,278.75,25,20
